 TIME                                   ,Massenstrom                             ,
  +1.8400000000000000E+02,  +4.3051901458981104E+02,
  +1.8500000000000000E+02,  +4.3912938670174594E+02,
  +1.8600000000000000E+02,  +4.9079166018655826E+02,
  +1.8700000000000000E+02,  +4.9940207337000709E+02,
  +1.8800000000000000E+02,  +5.3384356164553935E+02,
  +1.8900000000000000E+02,  +5.0801244539583826E+02,
  +1.9000000000000000E+02,  +3.0136331021286770E+02,
  +1.9100000000000000E+02,  +2.5831140875388667E+02,
  +1.9200000000000000E+02,  +2.4109064403731162E+02,
  +1.9300000000000000E+02,  +2.3248027201148054E+02,
  +1.9400000000000000E+02,  +2.5831140875388667E+02,
  +1.9500000000000000E+02,  +2.5831140875388667E+02,
  +1.9600000000000000E+02,  +2.8414254549629277E+02,
  +1.9700000000000000E+02,  +3.7024636899306381E+02,
  +1.9800000000000000E+02,  +5.3384356164553935E+02,
  +1.9900000000000000E+02,  +5.3384356164553935E+02,
  +2.0000000000000000E+02,  +4.3051901458981104E+02,
  +2.0100000000000000E+02,  +4.3051901458981104E+02,
  +2.0200000000000000E+02,  +3.7885674101889498E+02,
  +2.0300000000000000E+02,  +3.6163595580961493E+02,
  +2.0400000000000000E+02,  +3.3580483955991394E+02,
  +2.0500000000000000E+02,  +3.4441521167184885E+02,
  +2.0600000000000000E+02,  +3.5302558378378376E+02,
  +2.0700000000000000E+02,  +3.2719444695527380E+02,
  +2.0800000000000000E+02,  +3.4441521167184885E+02,
  +2.0900000000000000E+02,  +3.5302558378378376E+02,
  +2.1000000000000000E+02,  +4.0468785726859602E+02,
  +2.1100000000000000E+02,  +4.3051901458981104E+02,
  +2.1200000000000000E+02,  +4.2190864247787613E+02,
  +2.1300000000000000E+02,  +4.0468785726859602E+02,
  +2.1400000000000000E+02,  +2.4970103664195167E+02,
  +2.1500000000000000E+02,  +2.0664913518297061E+02,
  +2.1600000000000000E+02,  +1.8942837055249942E+02,
  +2.1700000000000000E+02,  +1.8081797794785933E+02,
  +2.1800000000000000E+02,  +1.8942837055249942E+02,
  +2.1900000000000000E+02,  +2.1525950729490552E+02,
  +2.2000000000000000E+02,  +2.4970103664195167E+02,
  +2.2100000000000000E+02,  +3.5302558378378376E+02,
  +2.2200000000000000E+02,  +5.0801244539583826E+02,
  +2.2300000000000000E+02,  +4.8218128816072709E+02,
