 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +2.5800000000000000E+02,  +5.3564828201533523E+01,
  +2.5900000000000000E+02,  +5.6980187153925669E+01,
  +2.6000000000000000E+02,  +5.9053654007813009E+01,
  +2.6100000000000000E+02,  +6.0422824213022068E+01,
  +2.6200000000000000E+02,  +6.1613301425418690E+01,
  +2.6300000000000000E+02,  +6.2487880233229333E+01,
  +2.6400000000000000E+02,  +6.2039733063278106E+01,
  +2.6500000000000000E+02,  +6.2109454034239967E+01,
  +2.6600000000000000E+02,  +6.1803335012621140E+01,
  +2.6700000000000000E+02,  +6.0455365495152499E+01,
  +2.6800000000000000E+02,  +6.0842179982441699E+01,
  +2.6900000000000000E+02,  +6.0249427323246408E+01,
  +2.7000000000000000E+02,  +5.7658118408258865E+01,
  +2.7100000000000000E+02,  +5.4817994644900160E+01,
  +2.7200000000000000E+02,  +5.2235578319397177E+01,
  +2.7300000000000000E+02,  +4.9860824051158716E+01,
  +2.7400000000000000E+02,  +4.7696046437437950E+01,
  +2.7500000000000000E+02,  +4.5640928197808073E+01,
  +2.7600000000000000E+02,  +4.9253339088515901E+01,
  +2.7700000000000000E+02,  +5.0575382011078261E+01,
  +2.7800000000000000E+02,  +4.8509626415032521E+01,
  +2.7900000000000000E+02,  +4.6483685509458553E+01,
  +2.8000000000000000E+02,  +4.9725380825886297E+01,
  +2.8100000000000000E+02,  +5.0627266634090212E+01,
  +2.8200000000000000E+02,  +5.2621801243407504E+01,
  +2.8300000000000000E+02,  +5.6153221447765532E+01,
  +2.8400000000000000E+02,  +5.5575640787597486E+01,
  +2.8500000000000000E+02,  +5.2896854459341021E+01,
  +2.8600000000000000E+02,  +5.0818219420731936E+01,
  +2.8700000000000000E+02,  +4.9235474660587009E+01,
  +2.8800000000000000E+02,  +4.7610708760170901E+01,
  +2.8900000000000000E+02,  +4.5843204933592006E+01,
  +2.9000000000000000E+02,  +4.9487607136157571E+01,
  +2.9100000000000000E+02,  +5.0897510969969460E+01,
  +2.9200000000000000E+02,  +5.3250376183970246E+01,
  +2.9300000000000000E+02,  +5.3185492139388749E+01,
  +2.9400000000000000E+02,  +4.9566985054465739E+01,
  +2.9500000000000000E+02,  +4.5827384557962716E+01,
  +2.9600000000000000E+02,  +4.8352254260842727E+01,
  +2.9700000000000000E+02,  +4.8547365790752913E+01,
  +2.9800000000000000E+02,  +4.5622189678928521E+01,
  +2.9900000000000000E+02,  +4.8536874252516782E+01,
  +3.0000000000000000E+02,  +4.9049985586337819E+01,
  +3.0100000000000000E+02,  +4.6170002378553782E+01,
  +3.0200000000000000E+02,  +4.9017938336800569E+01,
  +3.0300000000000000E+02,  +5.3908356578763879E+01,
  +3.0400000000000000E+02,  +5.6780571167516143E+01,
  +3.0500000000000000E+02,  +5.8415849019477641E+01,
  +3.0600000000000000E+02,  +5.9470558800984200E+01,
  +3.0700000000000000E+02,  +5.9857134162465798E+01,
  +3.0800000000000000E+02,  +5.9876417783996182E+01,
  +3.0900000000000000E+02,  +5.9795503268226177E+01,
  +3.1000000000000000E+02,  +6.0500115110533208E+01,
  +3.1100000000000000E+02,  +5.9974905128748588E+01,
  +3.1200000000000000E+02,  +6.0206776492648856E+01,
  +3.1300000000000000E+02,  +6.1350162901518466E+01,
  +3.1400000000000000E+02,  +6.2038203282214262E+01,
  +3.1500000000000000E+02,  +6.2371729321122267E+01,
  +3.1600000000000000E+02,  +6.2376078420801001E+01,
  +3.1700000000000000E+02,  +6.1846830369456768E+01,
  +3.1800000000000000E+02,  +5.8728085034042003E+01,
  +3.1900000000000000E+02,  +5.7389939796528601E+01,
  +3.2000000000000000E+02,  +5.5574832969754432E+01,
  +3.2100000000000000E+02,  +5.1895592471147722E+01,
  +3.2200000000000000E+02,  +5.2712541076111052E+01,
  +3.2300000000000000E+02,  +5.5564107395291899E+01,
  +3.2400000000000000E+02,  +5.7436073139787133E+01,
  +3.2500000000000000E+02,  +5.8661016513459060E+01,
  +3.2600000000000000E+02,  +5.9624442081571623E+01,
  +3.2700000000000000E+02,  +6.0110628089464171E+01,
  +3.2800000000000000E+02,  +6.0176895133433277E+01,
  +3.2900000000000000E+02,  +6.0018024561459562E+01,
  +3.3000000000000000E+02,  +5.9858296422575357E+01,
  +3.3100000000000000E+02,  +5.9622735581839066E+01,
  +3.3200000000000000E+02,  +5.9052795197651967E+01,
  +3.3300000000000000E+02,  +5.8711453254417677E+01,
  +3.3400000000000000E+02,  +5.9399827428426818E+01,
  +3.3500000000000000E+02,  +5.8409541998133598E+01,
  +3.3600000000000000E+02,  +5.8563956632162075E+01,
  +3.3700000000000000E+02,  +5.7866549593896423E+01,
  +3.3800000000000000E+02,  +5.5548767563432570E+01,
  +3.3900000000000000E+02,  +5.3205245027955634E+01,
  +3.4000000000000000E+02,  +5.0304875950903750E+01,
  +3.4100000000000000E+02,  +5.1265369724609677E+01,
  +3.4200000000000000E+02,  +5.3141702469205548E+01,
  +3.4300000000000000E+02,  +5.0007824681709828E+01,
  +3.4400000000000000E+02,  +5.0409181771309058E+01,
  +3.4500000000000000E+02,  +4.8601765029427746E+01,
  +3.4600000000000000E+02,  +4.9652439011211605E+01,
  +3.4700000000000000E+02,  +4.8127634386541537E+01,
  +3.4800000000000000E+02,  +4.9683573393704940E+01,
