 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +1.7700000000000000E+02,  +1.3680000000000000E+01,  +7.0000000000000000E+02,
  +1.7800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.8000000000000000E+02,  +1.3872999999999999E+01,  +7.0000000000000000E+02,
  +1.8100000000000000E+02,  +1.0818000000000000E+01,  +7.0000000000000000E+02,
  +1.8200000000000000E+02,  +8.7609999999999992E+00,  +7.0000000000000000E+02,
  +1.8300000000000000E+02,  +7.3170000000000002E+00,  +7.0000000000000000E+02,
  +1.8400000000000000E+02,  +6.5080000000000000E+00,  +7.0000000000000000E+02,
  +1.8500000000000000E+02,  +6.0240000000000000E+00,  +7.0000000000000000E+02,
  +1.8600000000000000E+02,  +5.9279999999999999E+00,  +7.0000000000000000E+02,
  +1.8700000000000000E+02,  +5.9009999999999998E+00,  +7.0000000000000000E+02,
  +1.8800000000000000E+02,  +6.0240000000000000E+00,  +7.0000000000000000E+02,
  +1.8900000000000000E+02,  +5.9969999999999999E+00,  +7.0000000000000000E+02,
  +1.9000000000000000E+02,  +5.0970000000000004E+00,  +7.0000000000000000E+02,
  +1.9100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9200000000000000E+02,  +5.3579999999999997E+00,  +7.0000000000000000E+02,
  +1.9300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9400000000000000E+02,  +5.5149999999999997E+00,  +7.0000000000000000E+02,
  +1.9500000000000000E+02,  +4.6180000000000003E+00,  +7.0000000000000000E+02,
  +1.9600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9700000000000000E+02,  +5.7599999999999998E+00,  +7.0000000000000000E+02,
  +1.9800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0300000000000000E+02,  +1.4362000000000000E+01,  +7.0000000000000000E+02,
  +2.0400000000000000E+02,  +1.1066000000000001E+01,  +7.0000000000000000E+02,
  +2.0500000000000000E+02,  +8.6570000000000000E+00,  +7.0000000000000000E+02,
  +2.0600000000000000E+02,  +7.0529999999999999E+00,  +7.0000000000000000E+02,
  +2.0700000000000000E+02,  +5.8940000000000001E+00,  +7.0000000000000000E+02,
