 TIME                                   ,T_R                                     ,
  +2.3400000000000000E+02,  +5.3109239060946230E+01,
  +2.3500000000000000E+02,  +5.1016094874937174E+01,
  +2.3600000000000000E+02,  +4.8457297666015322E+01,
  +2.3700000000000000E+02,  +4.5741470720700917E+01,
  +2.3800000000000000E+02,  +4.3735964381000997E+01,
  +2.3900000000000000E+02,  +4.7821961576175241E+01,
  +2.4000000000000000E+02,  +4.9495714710308491E+01,
  +2.4100000000000000E+02,  +4.7620547714205451E+01,
  +2.4200000000000000E+02,  +4.6008379855684204E+01,
  +2.4300000000000000E+02,  +4.9113040917500257E+01,
  +2.4400000000000000E+02,  +5.0272858260480469E+01,
  +2.4500000000000000E+02,  +4.7966337617702948E+01,
  +2.4600000000000000E+02,  +4.9225315781534768E+01,
  +2.4700000000000000E+02,  +4.8537403694208130E+01,
  +2.4800000000000000E+02,  +4.5709223660026794E+01,
  +2.4900000000000000E+02,  +4.3405823173643931E+01,
  +2.5000000000000000E+02,  +4.1431101424855704E+01,
  +2.5100000000000000E+02,  +4.6087428071034878E+01,
  +2.5200000000000000E+02,  +4.7320525874706846E+01,
  +2.5300000000000000E+02,  +4.4456733775994294E+01,
  +2.5400000000000000E+02,  +4.2255354540669941E+01,
  +2.5500000000000000E+02,  +4.0357894169210645E+01,
  +2.5600000000000000E+02,  +4.5413997848884314E+01,
  +2.5700000000000000E+02,  +4.6413576642826413E+01,
  +2.5800000000000000E+02,  +4.8095876462640085E+01,
  +2.5900000000000000E+02,  +5.1123306044404458E+01,
  +2.6000000000000000E+02,  +5.2383649255072626E+01,
  +2.6100000000000000E+02,  +5.3187645176858148E+01,
  +2.6200000000000000E+02,  +5.2858706726737573E+01,
  +2.6300000000000000E+02,  +5.3209440126146660E+01,
  +2.6400000000000000E+02,  +5.4042390200260598E+01,
  +2.6500000000000000E+02,  +5.4411251703714441E+01,
  +2.6600000000000000E+02,  +5.4201387340316742E+01,
  +2.6700000000000000E+02,  +5.4197198534382281E+01,
  +2.6800000000000000E+02,  +5.3936202387836580E+01,
  +2.6900000000000000E+02,  +5.2725047418518457E+01,
  +2.7000000000000000E+02,  +5.0538856544545652E+01,
  +2.7100000000000000E+02,  +4.7822723749133850E+01,
  +2.7200000000000000E+02,  +4.5243587199200491E+01,
  +2.7300000000000000E+02,  +4.2858694630654135E+01,
  +2.7400000000000000E+02,  +4.0685361777075236E+01,
  +2.7500000000000000E+02,  +3.8624025895959328E+01,
  +2.7600000000000000E+02,  +4.4415886726727948E+01,
  +2.7700000000000000E+02,  +4.5817694357451558E+01,
  +2.7800000000000000E+02,  +4.2340299436851438E+01,
  +2.7900000000000000E+02,  +3.9731734999847198E+01,
  +2.8000000000000000E+02,  +4.4786346148679975E+01,
  +2.8100000000000000E+02,  +4.5635949402497751E+01,
  +2.8200000000000000E+02,  +4.7394892316805965E+01,
  +2.8300000000000000E+02,  +5.0565510093215799E+01,
  +2.8400000000000000E+02,  +4.9306316725080457E+01,
  +2.8500000000000000E+02,  +5.0032468610388243E+01,
  +2.8600000000000000E+02,  +5.2261692345665935E+01,
  +2.8700000000000000E+02,  +5.2111636093036154E+01,
  +2.8800000000000000E+02,  +5.0519809460804574E+01,
  +2.8900000000000000E+02,  +4.8762624731201413E+01,
  +2.9000000000000000E+02,  +4.6908271867216271E+01,
  +2.9100000000000000E+02,  +4.5038852229909935E+01,
  +2.9200000000000000E+02,  +4.3064387614203511E+01,
  +2.9300000000000000E+02,  +4.0367789807756203E+01,
  +2.9400000000000000E+02,  +4.4152830637939111E+01,
  +2.9500000000000000E+02,  +4.2978753264142270E+01,
  +2.9600000000000000E+02,  +3.8472924267999090E+01,
  +2.9700000000000000E+02,  +4.3365454872209320E+01,
  +2.9800000000000000E+02,  +4.3483678847705512E+01,
  +2.9900000000000000E+02,  +3.9140084559599487E+01,
  +3.0000000000000000E+02,  +4.3896016883146906E+01,
  +3.0100000000000000E+02,  +4.8814167367968452E+01,
  +3.0200000000000000E+02,  +5.0828261868611449E+01,
  +3.0300000000000000E+02,  +5.2099876682930933E+01,
  +3.0400000000000000E+02,  +5.2651731492551612E+01,
  +3.0500000000000000E+02,  +5.2956284739079166E+01,
  +3.0600000000000000E+02,  +5.3195792065425856E+01,
  +3.0700000000000000E+02,  +5.3171313540416556E+01,
  +3.0800000000000000E+02,  +5.3021580789649526E+01,
  +3.0900000000000000E+02,  +5.2869172266085194E+01,
  +3.1000000000000000E+02,  +5.3287336250699610E+01,
  +3.1100000000000000E+02,  +5.3860197419623958E+01,
  +3.1200000000000000E+02,  +5.4171130840944159E+01,
  +3.1300000000000000E+02,  +5.4317367266766311E+01,
  +3.1400000000000000E+02,  +5.4409658915802623E+01,
  +3.1500000000000000E+02,  +5.4439017789706469E+01,
  +3.1600000000000000E+02,  +5.4378321202724976E+01,
  +3.1700000000000000E+02,  +5.4075140197995623E+01,
  +3.1800000000000000E+02,  +5.3271505364683705E+01,
  +3.1900000000000000E+02,  +5.2727516562119440E+01,
  +3.2000000000000000E+02,  +5.0781110562816295E+01,
  +3.2100000000000000E+02,  +4.7276906981424212E+01,
  +3.2200000000000000E+02,  +4.3624007687220804E+01,
  +3.2300000000000000E+02,  +4.6358402169875710E+01,
  +3.2400000000000000E+02,  +4.9634243844916227E+01,
  +3.2500000000000000E+02,  +5.1076289815772384E+01,
  +3.2600000000000000E+02,  +5.2105112403252399E+01,
  +3.2700000000000000E+02,  +5.2619900253321326E+01,
  +3.2800000000000000E+02,  +5.2767366938524049E+01,
  +3.2900000000000000E+02,  +5.2729954011394554E+01,
  +3.3000000000000000E+02,  +5.2670768822813613E+01,
  +3.3100000000000000E+02,  +5.2534606775370342E+01,
  +3.3200000000000000E+02,  +4.9788723495645776E+01,
  +3.3300000000000000E+02,  +4.9466483669177805E+01,
  +3.3400000000000000E+02,  +4.8226218750387666E+01,
  +3.3500000000000000E+02,  +4.9503788267101761E+01,
  +3.3600000000000000E+02,  +5.1818975351130291E+01,
  +3.3700000000000000E+02,  +5.2797795045068483E+01,
  +3.3800000000000000E+02,  +5.1948905670431351E+01,
  +3.3900000000000000E+02,  +4.9800281790952120E+01,
  +3.4000000000000000E+02,  +4.6975108077597866E+01,
  +3.4100000000000000E+02,  +4.7916523464706486E+01,
  +3.4200000000000000E+02,  +4.4533389098354363E+01,
  +3.4300000000000000E+02,  +4.5093792618849378E+01,
  +3.4400000000000000E+02,  +4.2405137975015478E+01,
