 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
 HOURS              ,"°C                 ,°C                  ,°C"                 ,
  +2.2590000000000000E+03,  +6.0782862435436058E+01,  +5.6625695625104626E+01,  +5.1299248935832019E+01,
  +2.2600000000000000E+03,  +5.9664384042066729E+01,  +5.5391144062833000E+01,  +5.1175741566052409E+01,
  +2.2610000000000000E+03,  +5.8190623411545587E+01,  +5.3975316769927325E+01,  +4.9975723461779268E+01,
  +2.2620000000000000E+03,  +6.0138566986243113E+01,  +5.5617549052015455E+01,  +5.0883959052158183E+01,
  +2.2630000000000000E+03,  +6.0540404401792699E+01,  +5.5981687261219136E+01,  +5.2052590629065051E+01,
  +2.2640000000000000E+03,  +6.1449937162225602E+01,  +5.7447592182632526E+01,  +5.3585798533141478E+01,
  +2.2650000000000000E+03,  +6.3209017476283677E+01,  +6.0038431509744946E+01,  +5.4631720834993821E+01,
  +2.2660000000000000E+03,  +6.2901621651697759E+01,  +5.9270917706124266E+01,  +5.1532172210560518E+01,
  +2.2670000000000000E+03,  +6.1402298473019982E+01,  +5.6616177523791883E+01,  +4.9356389353415679E+01,
  +2.2680000000000000E+03,  +5.9713533423499427E+01,  +5.4633714480985745E+01,  +5.0124648263002996E+01,
  +2.2690000000000000E+03,  +5.7995687380875083E+01,  +5.3149410838840026E+01,  +4.9033964005286279E+01,
  +2.2700000000000000E+03,  +5.6291852702929205E+01,  +5.1648495147563978E+01,  +4.7398227074196086E+01,
  +2.2710000000000000E+03,  +5.4614580326136853E+01,  +5.0387972857220873E+01,  +4.7813061906382877E+01,
  +2.2720000000000000E+03,  +5.3082654981215853E+01,  +4.9586853192600593E+01,  +4.8045126624773225E+01,
  +2.2730000000000000E+03,  +5.7409740564575792E+01,  +5.2395306530463806E+01,  +4.8342641957076083E+01,
  +2.2740000000000000E+03,  +5.8860230564605843E+01,  +5.3096412566097982E+01,  +4.8670677646746469E+01,
  +2.2750000000000000E+03,  +5.6504461039969911E+01,  +5.1625920384683845E+01,  +4.9268433761734826E+01,
  +2.2760000000000000E+03,  +5.4638597768929969E+01,  +5.0833290206177665E+01,  +4.9454706826572973E+01,
  +2.2770000000000000E+03,  +5.3308404372347042E+01,  +5.0343121968902359E+01,  +4.9207000214386547E+01,
  +2.2780000000000000E+03,  +5.2463170440970792E+01,  +5.0027114357594975E+01,  +4.9128665956898885E+01,
  +2.2790000000000000E+03,  +5.7629575906931308E+01,  +5.3216804371932085E+01,  +5.0753710960027512E+01,
