index,electricity,PV,temp,heat_water,heat_space
382,0.0,0.0,2.166,0.5,5.800000191
383,0.0,0.0,2.631,0.300000012,4.699999809
384,0.0,0.0,2.891,0.200000003,4.699999809
385,0.0,0.0,3.175,0.100000001,4.099999905
386,0.0,0.0,3.288,0.0,5.199999809
387,0.0,0.0,3.151,0.0,5.099999905
388,0.0,0.0,2.997,0.100000001,6.199999809
389,0.0,0.0,2.952,0.300000012,8.399999619
390,0.0,0.0,2.834,0.899999976,11.19999981
391,0.0,0.0,2.577,1.0,11.5
392,0.0,0.0,2.866,0.800000012,9.600000381
393,0.0,0.0,3.571,0.699999988,8.399999619
394,0.0,0.0,4.315,0.600000024,7.599999905
395,0.0,0.0,4.663,0.600000024,7.199999809
396,0.0,0.0,4.327,0.5,6.5
397,0.0,0.0,3.506,0.5,6.5
398,0.0,0.0,2.765,0.5,6.199999809
399,0.0,0.0,2.102,0.400000006,6.300000191
400,0.0,0.0,1.54,0.5,7.599999905
401,0.0,0.0,1.179,0.600000024,7.800000191
402,0.0,0.0,0.98,0.699999988,8.5
403,0.0,0.0,0.85,1.0,9.600000381
404,0.0,0.0,0.706,1.0,9.699999809
405,0.0,0.0,0.601,0.800000012,8.199999809
406,0.0,0.0,0.331,0.5,5.199999809
407,0.0,0.0,-0.04,0.300000012,5.099999905
408,0.0,0.0,-0.621,0.200000003,4.699999809
409,0.0,0.0,-1.289,0.100000001,4.599999905
410,0.0,0.0,-1.93,0.0,4.599999905
411,0.0,0.0,-2.292,0.0,4.900000095
412,0.0,0.0,-2.499,0.100000001,5.199999809
413,0.0,0.0,-2.698,0.300000012,7.300000191
414,0.0,0.0,-2.975,0.899999976,10.10000038
415,0.0,0.0,-3.181,0.899999976,9.399999619
416,0.0,0.0,-2.39,0.800000012,8.399999619
417,0.0,0.0,-0.952,0.699999988,7.300000191
418,0.0,0.0,0.989,0.5,6.400000095
419,0.0,0.0,2.158,0.600000024,6.699999809
420,0.0,0.0,2.525,0.5,6.0
421,0.0,0.0,2.41,0.5,5.800000191
422,0.0,0.0,1.254,0.5,5.900000095
423,0.0,0.0,-0.791,0.400000006,5.800000191
424,0.0,0.0,-1.866,0.5,6.800000191
425,0.0,0.0,-2.282,0.600000024,6.699999809
426,0.0,0.0,-2.27,0.800000012,7.599999905
427,0.0,0.0,-2.191,0.899999976,7.5
428,0.0,0.0,-2.193,1.0,7.800000191
429,0.0,0.0,-2.217,1.0,7.699999809
430,0.0,0.0,-2.274,0.5,4.099999905
431,0.0,0.0,-2.32,0.300000012,3.799999952
432,0.0,0.0,-2.381,0.200000003,3.200000048
433,0.0,0.0,-2.501,0.100000001,3.099999905
434,0.0,0.0,-2.706,0.0,2.900000095
435,0.0,0.0,-2.933,0.0,3.5
436,0.0,0.0,-3.152,0.100000001,3.200000048
437,0.0,0.0,-3.309,0.300000012,4.400000095
438,0.0,0.0,-3.372,0.899999976,6.400000095
439,0.0,0.0,-3.248,0.899999976,5.599999905
440,0.0,0.0,-2.272,0.800000012,5.0
441,0.0,0.0,-0.842,0.699999988,4.599999905
442,0.0,0.0,0.891,0.600000024,4.400000095
443,0.0,0.0,1.927,0.600000024,3.799999952
444,0.0,0.0,2.292,0.5,3.400000095
445,0.0,0.0,2.119,0.5,3.5
