 TIME                                   ,Massenstrom                             ,
  +2.2110000000000000E+03,  +1.7771824922267399E+02,
  +2.2120000000000000E+03,  +2.1767041377660846E+02,
  +2.2130000000000000E+03,  +2.9344176034441523E+02,
  +2.2140000000000000E+03,  +3.6370246352547241E+02,
  +2.2150000000000000E+03,  +3.4441521167184885E+02,
  +2.2160000000000000E+03,  +3.2926094235828748E+02,
  +2.2170000000000000E+03,  +3.0721836881128917E+02,
  +2.2180000000000000E+03,  +2.8930877780435299E+02,
  +2.2190000000000000E+03,  +2.7415450849079167E+02,
  +2.2200000000000000E+03,  +2.7002152595072948E+02,
  +2.2210000000000000E+03,  +2.7690983018416642E+02,
  +2.2220000000000000E+03,  +2.8655345611097823E+02,
  +2.2230000000000000E+03,  +3.0170772542453955E+02,
  +2.2240000000000000E+03,  +3.1410667304472611E+02,
  +2.2250000000000000E+03,  +3.2788328151160010E+02,
  +2.2260000000000000E+03,  +3.3752690743841185E+02,
  +2.2270000000000000E+03,  +3.3614924659172442E+02,
  +2.2280000000000000E+03,  +3.1961731643147573E+02,
  +2.2290000000000000E+03,  +2.8104281272422861E+02,
  +2.2300000000000000E+03,  +1.9976082276967230E+02,
  +2.2310000000000000E+03,  +1.5705333652236305E+02,
  +2.2320000000000000E+03,  +1.2812245874192777E+02,
  +2.2330000000000000E+03,  +1.3501076297536474E+02,
  +2.2340000000000000E+03,  +1.4189906720880171E+02,
  +2.2350000000000000E+03,  +1.5980865821573786E+02,
  +2.2360000000000000E+03,  +2.0113848361635971E+02,
  +2.2370000000000000E+03,  +2.7139918679741692E+02,
  +2.2380000000000000E+03,  +3.3339392489834961E+02,
  +2.2390000000000000E+03,  +3.1686199473810092E+02,
  +2.2400000000000000E+03,  +3.0033006457785217E+02,
  +2.2410000000000000E+03,  +2.7553216933747905E+02,
  +2.2420000000000000E+03,  +2.5762257833054292E+02,
  +2.2430000000000000E+03,  +2.4246830901698152E+02,
  +2.2440000000000000E+03,  +2.3971298732360677E+02,
  +2.2450000000000000E+03,  +2.4660129155704374E+02,
  +2.2460000000000000E+03,  +2.5624491748385555E+02,
  +2.2470000000000000E+03,  +2.7139918679741692E+02,
  +2.2480000000000000E+03,  +2.8379813441760342E+02,
  +2.2490000000000000E+03,  +2.9757474288447736E+02,
  +2.2500000000000000E+03,  +3.0859602965797654E+02,
  +2.2510000000000000E+03,  +3.0859602965797654E+02,
  +2.2520000000000000E+03,  +2.9206409949772780E+02,
  +2.2530000000000000E+03,  +2.5624491748385555E+02,
  +2.2540000000000000E+03,  +1.7909591006936139E+02,
  +2.2550000000000000E+03,  +1.3776608466873952E+02,
  +2.2560000000000000E+03,  +9.7813920114805057E+01,
  +2.2570000000000000E+03,  +1.0332456350155465E+02,
  +2.2580000000000000E+03,  +1.0883520688830423E+02,
  +2.2590000000000000E+03,  +1.2261181535517817E+02,
  +2.2600000000000000E+03,  +1.5567567567567565E+02,
  +2.2610000000000000E+03,  +2.0802678784979668E+02,
  +2.2620000000000000E+03,  +2.5211193494379333E+02,
  +2.2630000000000000E+03,  +2.4246830901698152E+02,
  +2.2640000000000000E+03,  +2.3006936139679502E+02,
  +2.2650000000000000E+03,  +2.0940444869648408E+02,
  +2.2660000000000000E+03,  +1.9562784022961011E+02,
  +2.2670000000000000E+03,  +1.8322889260942358E+02,
  +2.2680000000000000E+03,  +1.8047357091604880E+02,
  +2.2690000000000000E+03,  +1.8736187514948577E+02,
  +2.2700000000000000E+03,  +1.9425017938292271E+02,
  +2.2710000000000000E+03,  +2.0802678784979668E+02,
  +2.2720000000000000E+03,  +2.1629275292992108E+02,
  +2.2730000000000000E+03,  +2.2731403970342024E+02,
  +2.2740000000000000E+03,  +2.3695766563023199E+02,
  +2.2750000000000000E+03,  +2.3695766563023199E+02,
  +2.2760000000000000E+03,  +2.2455871801004545E+02,
  +2.2770000000000000E+03,  +1.9700550107629752E+02,
  +2.2780000000000000E+03,  +1.3776608466873952E+02,
  +2.2790000000000000E+03,  +1.0470222434824204E+02,
