 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +4.0200000000000000E+02,  +4.1006553678063781E+01,
  +4.0300000000000000E+02,  +4.3196038671473815E+01,
  +4.0400000000000000E+02,  +4.0673933301210816E+01,
  +4.0500000000000000E+02,  +4.0199162489801942E+01,
  +4.0600000000000000E+02,  +3.9988772984068696E+01,
  +4.0700000000000000E+02,  +3.9982145783852474E+01,
  +4.0800000000000000E+02,  +3.9976553066777299E+01,
  +4.0900000000000000E+02,  +3.9971971831824803E+01,
  +4.1000000000000000E+02,  +3.9968301994930883E+01,
  +4.1100000000000000E+02,  +3.9965804760338180E+01,
  +4.1200000000000000E+02,  +3.9964286152459643E+01,
  +4.1300000000000000E+02,  +3.9966094268732043E+01,
  +4.1400000000000000E+02,  +3.9970574860896825E+01,
  +4.1500000000000000E+02,  +3.9972812295308294E+01,
  +4.1600000000000000E+02,  +3.9978272777089138E+01,
  +4.1700000000000000E+02,  +3.9979910366369531E+01,
  +4.1800000000000000E+02,  +3.9979920898882838E+01,
  +4.1900000000000000E+02,  +4.0415945580749536E+01,
  +4.2000000000000000E+02,  +4.4213130499284318E+01,
  +4.2100000000000000E+02,  +5.2259643533905930E+01,
  +4.2200000000000000E+02,  +5.0402975387019701E+01,
  +4.2300000000000000E+02,  +4.8585085413604531E+01,
  +4.2400000000000000E+02,  +4.6456968430747864E+01,
  +4.2500000000000000E+02,  +4.1883406394628182E+01,
  +4.2600000000000000E+02,  +3.9996088144138675E+01,
  +4.2700000000000000E+02,  +3.9988997000069070E+01,
  +4.2800000000000000E+02,  +3.9984130697612692E+01,
  +4.2900000000000000E+02,  +3.9980631917964274E+01,
  +4.3000000000000000E+02,  +4.6966078094408388E+01,
  +4.3100000000000000E+02,  +4.3355325167810818E+01,
  +4.3200000000000000E+02,  +4.0353963197420363E+01,
  +4.3300000000000000E+02,  +4.0034462913188420E+01,
  +4.3400000000000000E+02,  +4.0019814004157759E+01,
  +4.3500000000000000E+02,  +4.0006956455397052E+01,
  +4.3600000000000000E+02,  +3.9996090631631816E+01,
  +4.3700000000000000E+02,  +3.9987514849877499E+01,
  +4.3800000000000000E+02,  +3.9982139640953058E+01,
  +4.3900000000000000E+02,  +3.9977420983979734E+01,
  +4.4000000000000000E+02,  +3.9976462038487206E+01,
  +4.4100000000000000E+02,  +3.9975187520253094E+01,
  +4.4200000000000000E+02,  +3.9973955366697638E+01,
  +4.4300000000000000E+02,  +4.0319627459421618E+01,
  +4.4400000000000000E+02,  +4.4283560396110474E+01,
  +4.4500000000000000E+02,  +5.2771480516616975E+01,
  +4.4600000000000000E+02,  +5.1387894065518246E+01,
  +4.4700000000000000E+02,  +5.0011252852605878E+01,
  +4.4800000000000000E+02,  +4.8367400638532978E+01,
  +4.4900000000000000E+02,  +4.6845030468631364E+01,
  +4.5000000000000000E+02,  +4.5016422377984739E+01,
  +4.5100000000000000E+02,  +4.3259786702389277E+01,
  +4.5200000000000000E+02,  +4.1728465671425177E+01,
  +4.5300000000000000E+02,  +4.0348252950287169E+01,
  +4.5400000000000000E+02,  +4.0137616408001236E+01,
  +4.5500000000000000E+02,  +3.9982886963425592E+01,
  +4.5600000000000000E+02,  +3.9975343930668487E+01,
  +4.5700000000000000E+02,  +3.9968414517535692E+01,
  +4.5800000000000000E+02,  +3.9963731429214612E+01,
  +4.5900000000000000E+02,  +3.9959239371819464E+01,
  +4.6000000000000000E+02,  +3.9955815387195997E+01,
  +4.6100000000000000E+02,  +3.9957730125979410E+01,
  +4.6200000000000000E+02,  +3.9961240611828778E+01,
  +4.6300000000000000E+02,  +3.9965089653400717E+01,
  +4.6400000000000000E+02,  +3.9970680061718575E+01,
  +4.6500000000000000E+02,  +3.9973456816796727E+01,
  +4.6600000000000000E+02,  +3.9975824318333515E+01,
  +4.6700000000000000E+02,  +4.0831443905685845E+01,
  +4.6800000000000000E+02,  +4.3480312206407362E+01,
  +4.6900000000000000E+02,  +4.9246978718094624E+01,
  +4.7000000000000000E+02,  +4.7402420479120160E+01,
  +4.7100000000000000E+02,  +4.5422101885476721E+01,
  +4.7200000000000000E+02,  +4.2763965082633590E+01,
  +4.7300000000000000E+02,  +4.0954356156570555E+01,
  +4.7400000000000000E+02,  +4.0164119470540683E+01,
  +4.7500000000000000E+02,  +3.9996404061109324E+01,
  +4.7600000000000000E+02,  +3.9989303948065654E+01,
  +4.7700000000000000E+02,  +3.9984105772815020E+01,
