 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +1.3300000000000000E+02,  +2.0000000000000000E+01,  +1.2801454169069461E+03,
  +1.3400000000000000E+02,  +1.7353124448906904E+01,  +1.1330677067449578E+03,
  +1.3500000000000000E+02,  +5.2408847393158604E+00,  +4.5015554038166573E+02,
  +1.3600000000000000E+02,  +4.9408854415845793E+00,  +4.2432444802931576E+02,
  +1.3700000000000000E+02,  +5.5408857624275694E+00,  +4.7598674546573113E+02,
  +1.3800000000000000E+02,  +5.5408861778452714E+00,  +4.7598676931176044E+02,
  +1.3900000000000000E+02,  +5.9408866878381081E+00,  +5.1042832247715245E+02,
  +1.4000000000000000E+02,  +6.3372798215821389E+00,  +3.6405209599869892E+02,
  +1.4100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4300000000000000E+02,  +1.2807872662167931E+01,  +7.3520436226410470E+02,
  +1.4400000000000000E+02,  +7.2110624044731016E-03,  +6.2089989604447660E-01,
  +1.4500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4700000000000000E+02,  +7.2110624044731016E-03,  +6.2089989604447660E-01,
  +1.4800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+02,  +9.8534360914406283E-01,  +5.6630104322392498E+01,
  +1.5100000000000000E+02,  +6.7051998089999998E+00,  +3.8496435159196704E+02,
  +1.5200000000000000E+02,  +6.0051999999999994E+00,  +3.4478258786464647E+02,
  +1.5300000000000000E+02,  +4.8084001910000005E+00,  +4.1380341272290809E+02,
  +1.5400000000000000E+02,  +4.7083998090000003E+00,  +4.0519299954028287E+02,
  +1.5500000000000000E+02,  +4.8084001910000005E+00,  +4.1380341272290809E+02,
  +1.5600000000000000E+02,  +4.4084000950000002E+00,  +3.7936188329305315E+02,
  +1.5700000000000000E+02,  +1.3752607838611199E+01,  +1.1832778930929787E+03,
  +1.5800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6000000000000000E+02,  +5.1023999050000004E+00,  +4.3933603578671745E+02,
  +1.6100000000000000E+02,  +5.5084000000000000E+00,  +4.7407605831388889E+02,
  +1.6200000000000000E+02,  +6.1083999050000006E+00,  +5.2573833187986247E+02,
  +1.6300000000000000E+02,  +6.5084000000000000E+00,  +5.6017986122361356E+02,
  +1.6400000000000000E+02,  +6.1083999050000006E+00,  +5.2573833187986247E+02,
  +1.6500000000000000E+02,  +5.9084000950000002E+00,  +5.0851758765763998E+02,
  +1.6600000000000000E+02,  +3.3083999519999998E+00,  +2.8464768777951230E+02,
  +1.6700000000000000E+02,  +2.8083999519999998E+00,  +2.4159578632465002E+02,
  +1.6800000000000000E+02,  +1.9999999999999996E+01,  +1.7196055559572865E+03,
  +1.6900000000000000E+02,  +4.1774753592123268E+00,  +3.5969651498984911E+02,
  +1.7000000000000000E+02,  +2.6343906516174318E+00,  +2.2683105345408825E+02,
  +1.7100000000000000E+02,  +2.6343921189603936E+00,  +2.2683117979789745E+02,
  +1.7200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7400000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+02,  +3.0951537425141615E+00,  +2.6650450782073580E+02,
  +1.7600000000000000E+02,  +5.4024000950000000E+00,  +4.6516719301935734E+02,
  +1.7700000000000000E+02,  +5.2023998090000001E+00,  +4.4794640781172484E+02,
  +1.7800000000000000E+02,  +4.9052000949999996E+00,  +4.2227601866325989E+02,
  +1.7900000000000000E+02,  +4.7051998089999998E+00,  +4.0505523345562733E+02,
  +1.8000000000000000E+02,  +4.4084000950000002E+00,  +3.7936188329305315E+02,
  +1.8100000000000000E+02,  +2.0000000000000000E+01,  +1.7218579285604535E+03,
  +1.8200000000000000E+02,  +7.7029908612952971E+00,  +6.5862596261453530E+02,
  +1.8300000000000000E+02,  +4.6343745883276366E+00,  +3.9903727616319884E+02,
  +1.8400000000000000E+02,  +5.0343761684199375E+00,  +4.3347893337904469E+02,
  +1.8500000000000000E+02,  +5.1343775568825887E+00,  +4.4208943322193164E+02,
  +1.8600000000000000E+02,  +5.7343789427173846E+00,  +4.9375183429341251E+02,
  +1.8700000000000000E+02,  +5.8343808049261341E+00,  +5.0236237492764013E+02,
  +1.8800000000000000E+02,  +6.2343819015106234E+00,  +5.3680399051162465E+02,
  +1.8900000000000000E+02,  +5.9343836644726480E+00,  +5.1097300143644202E+02,
  +1.9000000000000000E+02,  +3.5343850448139893E+00,  +3.0432399330574179E+02,
  +1.9100000000000000E+02,  +3.0343865185364525E+00,  +2.6127221874398805E+02,
  +1.9200000000000000E+02,  +2.8343879426418095E+00,  +2.4405158078293010E+02,
  +1.9300000000000000E+02,  +2.7343895091318604E+00,  +2.3544133537270827E+02,
  +1.9400000000000000E+02,  +3.0343909300083762E+00,  +2.6127259858849709E+02,
  +1.9500000000000000E+02,  +3.0343923972731393E+00,  +2.6127272492557307E+02,
  +1.9600000000000000E+02,  +3.3343938149279335E+00,  +2.8710398786395945E+02,
  +1.9700000000000000E+02,  +3.1999059757135910E+00,  +2.7552407346249299E+02,
  +1.9800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0100000000000000E+02,  +5.0023999999999997E+00,  +4.3072566367560620E+02,
  +2.0200000000000000E+02,  +4.4024000950000000E+00,  +3.7906339010963279E+02,
  +2.0300000000000000E+02,  +4.2083998090000003E+00,  +3.6214109808542059E+02,
  +2.0400000000000000E+02,  +2.0000000000000000E+01,  +1.2589863482165113E+03,
  +2.0500000000000000E+02,  +1.5859591956123813E+01,  +1.0252547402677860E+03,
  +2.0600000000000000E+02,  +4.1408835839509717E+00,  +3.5544129361541661E+02,
  +2.0700000000000000E+02,  +3.8408840484994951E+00,  +3.2961018075772176E+02,
  +2.0800000000000000E+02,  +4.0408845136209788E+00,  +2.3202589887018047E+02,
  +2.0900000000000000E+02,  +4.1408848353158607E+00,  +2.3776617086359727E+02,
  +2.1000000000000000E+02,  +4.7408851555845768E+00,  +2.7220771041172338E+02,
  +2.1100000000000000E+02,  +5.0408857624275658E+00,  +2.8942850582799434E+02,
  +2.1200000000000000E+02,  +4.9408862728452743E+00,  +2.8368828159994990E+02,
  +2.1300000000000000E+02,  +4.7396857875745066E+00,  +2.7220785247041033E+02,
  +2.1400000000000000E+02,  +2.9420871024065214E+00,  +1.6888325867256921E+02,
  +2.1500000000000000E+02,  +1.4455397049764793E-02,  +1.2446646585547618E+00,
  +2.1600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1700000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2100000000000000E+02,  +2.3999999999999998E-03,  +2.0664912698333898E-01,
  +2.2200000000000000E+02,  +2.3999999999999998E-03,  +2.0664912698333898E-01,
  +2.2300000000000000E+02,  +2.2394598120925271E+00,  +1.2861955389877031E+02,
  +2.2400000000000000E+02,  +4.8052001910000000E+00,  +2.7589955650075109E+02,
  +2.2500000000000000E+02,  +4.4052000949999996E+00,  +2.5293853688084778E+02,
  +2.2600000000000000E+02,  +4.3052001910000000E+00,  +2.4719828886417622E+02,
  +2.2700000000000000E+02,  +3.9084000950000002E+00,  +2.2437503532892848E+02,
  +2.2800000000000000E+02,  +1.5237058813826799E+01,  +8.7462279799192368E+02,
  +2.2900000000000000E+02,  +2.0000000000000000E+01,  +1.1481195885053221E+03,
  +2.3000000000000000E+02,  +3.8481181686384680E+00,  +2.2054562715582171E+02,
  +2.3100000000000000E+02,  +3.5396884596338141E+00,  +2.0332496352560926E+02,
  +2.3200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3300000000000000E+02,  +9.6221361372305775E-03,  +8.2850251353064019E-01,
  +2.3400000000000000E+02,  +7.5141809603826459E-01,  +4.3133303762719486E+01,
  +2.3500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3700000000000000E+02,  +2.3999999999999998E-03,  +2.0664912698333898E-01,
  +2.3800000000000000E+02,  +2.8051999520000002E+00,  +1.6109447223524569E+02,
  +2.3900000000000000E+02,  +2.3083999520000003E+00,  +1.3253097068332639E+02,
  +2.4000000000000000E+02,  +2.3083999520000003E+00,  +1.3253097068332639E+02,
  +2.4100000000000000E+02,  +2.2084000480000001E+00,  +1.2679072266665477E+02,
  +2.4200000000000000E+02,  +2.2084000480000001E+00,  +1.2679072266665477E+02,
  +2.4300000000000000E+02,  +2.2084000480000001E+00,  +1.2679072266665477E+02,
  +2.4400000000000000E+02,  +2.5084000000000004E+00,  +1.4401148049327804E+02,
  +2.4500000000000000E+02,  +3.7084000480000001E+00,  +2.1289452557637938E+02,
  +2.4600000000000000E+02,  +5.6083999049999997E+00,  +3.2195933438680129E+02,
  +2.4700000000000000E+02,  +4.8084001909999996E+00,  +2.7603732258540663E+02,
  +2.4800000000000000E+02,  +4.2083998089999994E+00,  +2.4159577949374832E+02,
  +2.4900000000000000E+02,  +3.9084000950000002E+00,  +2.2437503532892848E+02,
  +2.5000000000000000E+02,  +3.4084000949999997E+00,  +2.9325808038332855E+02,
  +2.5100000000000000E+02,  +3.6083999049999997E+00,  +3.1047882460555093E+02,
  +2.5200000000000000E+02,  +3.3083999519999998E+00,  +2.8464768777951230E+02,
  +2.5300000000000000E+02,  +3.4084000949999997E+00,  +2.9325808038332855E+02,
  +2.5400000000000000E+02,  +3.0084000000000000E+00,  +2.5881655103957746E+02,
  +2.5500000000000000E+02,  +3.3083999519999998E+00,  +2.8464768777951230E+02,
  +2.5600000000000000E+02,  +3.7084000479999997E+00,  +3.1908921720936718E+02,
  +2.5700000000000000E+02,  +4.0084000000000000E+00,  +3.4492035394930201E+02,
  +2.5800000000000000E+02,  +4.3084001910000005E+00,  +3.7075151126804576E+02,
  +2.5900000000000000E+02,  +4.3084001910000005E+00,  +3.7075151126804576E+02,
  +2.6000000000000000E+02,  +6.9312705408397539E+00,  +5.9637225626688110E+02,
  +2.6100000000000000E+02,  +2.0000000000000000E+01,  +1.7220760581944917E+03,
  +2.6200000000000000E+02,  +2.6665877117649450E+00,  +2.2683061808141696E+02,
  +2.6300000000000000E+02,  +2.5343871632000798E+00,  +2.1822037279711566E+02,
  +2.6400000000000000E+02,  +2.4343887295363693E+00,  +2.0961012737365436E+02,
  +2.6500000000000000E+02,  +2.3343900562582647E+00,  +2.0099986131848249E+02,
  +2.6600000000000000E+02,  +2.4343916673675459E+00,  +2.0961038033209098E+02,
  +2.6700000000000000E+02,  +2.5343930388659928E+00,  +2.1822087871429540E+02,
  +2.6800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.6900000000000000E+02,  +3.1214675169624044E+00,  +2.6877022386963824E+02,
  +2.7000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7300000000000000E+02,  +4.3024001910000003E+00,  +3.7045301808462540E+02,
  +2.7400000000000000E+02,  +3.8051999520000002E+00,  +3.2756182314971903E+02,
  +2.7500000000000000E+02,  +3.8083999519999998E+00,  +3.2769958923437457E+02,
  +2.7600000000000000E+02,  +3.5084000000000000E+00,  +3.0186845249443974E+02,
  +2.7700000000000000E+02,  +3.8083999519999998E+00,  +3.2769958923437457E+02,
  +2.7800000000000000E+02,  +3.8083999519999998E+00,  +3.2769958923437457E+02,
  +2.7900000000000000E+02,  +3.7084000479999997E+00,  +3.1908921720936718E+02,
  +2.8000000000000000E+02,  +4.2083998090000003E+00,  +3.6214109808542059E+02,
  +2.8100000000000000E+02,  +4.2083998090000003E+00,  +3.6214109808542059E+02,
  +2.8200000000000000E+02,  +4.9373479214591445E+00,  +4.2366004371996701E+02,
  +2.8300000000000000E+02,  +4.8052001910000000E+00,  +4.1366564663825255E+02,
  +2.8400000000000000E+02,  +1.9175437176703802E+01,  +1.6506752846132654E+03,
  +2.8500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8700000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8900000000000000E+02,  +3.3051999520000002E+00,  +2.8450992169485676E+02,
  +2.9000000000000000E+02,  +3.5052000000000003E+00,  +3.0173068640978420E+02,
  +2.9100000000000000E+02,  +3.4052000950000001E+00,  +2.9312031429867301E+02,
  +2.9200000000000000E+02,  +3.8083999519999998E+00,  +3.2769958923437457E+02,
  +2.9300000000000000E+02,  +5.7083998090000003E+00,  +4.9129680245000748E+02,
  +2.9400000000000000E+02,  +7.2083998090000003E+00,  +6.2045250681459436E+02,
  +2.9500000000000000E+02,  +6.8084001910000005E+00,  +5.8601101854235731E+02,
  +2.9600000000000000E+02,  +6.0084000000000000E+00,  +5.1712795976875123E+02,
  +2.9700000000000000E+02,  +5.6083999050000006E+00,  +4.8268643042500014E+02,
  +2.9800000000000000E+02,  +5.3084001910000005E+00,  +4.5685531417777037E+02,
  +2.9900000000000000E+02,  +5.4084000950000002E+00,  +4.6546568620277770E+02,
  +3.0000000000000000E+02,  +5.0084000000000000E+00,  +4.3102415685902656E+02,
  +3.0100000000000000E+02,  +5.5084000000000000E+00,  +4.7407605831388889E+02,
  +3.0200000000000000E+02,  +5.0084000000000000E+00,  +4.3102415685902656E+02,
  +3.0300000000000000E+02,  +4.8084001910000005E+00,  +4.1380341272290809E+02,
  +3.0400000000000000E+02,  +5.8084001910000005E+00,  +4.9990721563263264E+02,
  +3.0500000000000000E+02,  +1.8869511224068503E+01,  +1.2392573984507753E+03,
  +3.0600000000000000E+02,  +2.0000000000000000E+01,  +1.3031064364694469E+03,
  +3.0700000000000000E+02,  +6.4408770347393931E+00,  +5.5347966981967522E+02,
  +3.0800000000000000E+02,  +6.7280601284711317E+00,  +5.7931156326665462E+02,
  +3.0900000000000000E+02,  +6.9280694301590149E+00,  +5.9653312475929977E+02,
  +3.1000000000000000E+02,  +3.9280784352357654E+00,  +3.3822249140147966E+02,
  +3.1100000000000000E+02,  +3.1280872397139010E+00,  +2.6934020717275013E+02,
  +3.1200000000000000E+02,  +3.3000977514481615E+00,  +2.8415096637351775E+02,
  +3.1300000000000000E+02,  +3.5559077881765200E+00,  +3.0617718335830574E+02,
  +3.1400000000000000E+02,  +3.1491276328372280E+00,  +2.7115186503538422E+02,
  +3.1500000000000000E+02,  +3.8068352448419054E+00,  +3.2778299163166054E+02,
  +3.1600000000000000E+02,  +4.2281319575621605E+00,  +3.6405824075024026E+02,
  +3.1700000000000000E+02,  +6.0281410797104931E+00,  +5.1904587143940660E+02,
  +3.1800000000000000E+02,  +8.7281498093473786E+00,  +7.5152689095059691E+02,
  +3.1900000000000000E+02,  +7.7281587194852053E+00,  +6.6542385523762357E+02,
  +3.2000000000000000E+02,  +6.0969392094807553E+00,  +5.2496965204570290E+02,
  +3.2100000000000000E+02,  +7.0023999999999997E+00,  +6.0293326949505536E+02,
