 TIME                                   ,T_R                                     ,
  +3.0100000000000000E+02,  +4.8881160895734723E+01,
  +3.0200000000000000E+02,  +5.0880671863489759E+01,
  +3.0300000000000000E+02,  +5.2144027432209555E+01,
  +3.0400000000000000E+02,  +5.2692713312452192E+01,
  +3.0500000000000000E+02,  +5.2995405300832388E+01,
  +3.0600000000000000E+02,  +5.3233494427405347E+01,
  +3.0700000000000000E+02,  +5.3209164245915296E+01,
  +3.0800000000000000E+02,  +5.3059805742778146E+01,
  +3.0900000000000000E+02,  +5.2907521296279874E+01,
  +3.1000000000000000E+02,  +5.3323085334728276E+01,
  +3.1100000000000000E+02,  +5.3893288270118816E+01,
  +3.1200000000000000E+02,  +5.4203557477286751E+01,
  +3.1300000000000000E+02,  +5.4349827905527292E+01,
  +3.1400000000000000E+02,  +5.4442041761988193E+01,
  +3.1500000000000000E+02,  +5.4471674197343134E+01,
  +3.1600000000000000E+02,  +5.4411857946216458E+01,
  +3.1700000000000000E+02,  +5.4110918428454141E+01,
  +3.1800000000000000E+02,  +5.3310521508831009E+01,
  +3.1900000000000000E+02,  +5.2767024279745357E+01,
  +3.2000000000000000E+02,  +5.0841792783473267E+01,
  +3.2100000000000000E+02,  +4.7366608717067123E+01,
  +3.2200000000000000E+02,  +4.3734495846384696E+01,
  +3.2300000000000000E+02,  +4.6438648379854030E+01,
  +3.2400000000000000E+02,  +4.9688880705643690E+01,
  +3.2500000000000000E+02,  +5.1122535724910392E+01,
  +3.2600000000000000E+02,  +5.2146131284814338E+01,
  +3.2700000000000000E+02,  +5.2658871788140218E+01,
  +3.2800000000000000E+02,  +5.2805907793489162E+01,
  +3.2900000000000000E+02,  +5.2768528766715256E+01,
  +3.3000000000000000E+02,  +5.2709229608764531E+01,
  +3.3100000000000000E+02,  +5.2573243469455591E+01,
  +3.3200000000000000E+02,  +4.9850246809676506E+01,
  +3.3300000000000000E+02,  +4.9523608447741907E+01,
  +3.3400000000000000E+02,  +4.8296390260462999E+01,
  +3.3500000000000000E+02,  +4.9565216880453114E+01,
  +3.3600000000000000E+02,  +5.1862837678587681E+01,
  +3.3700000000000000E+02,  +5.2836765384641545E+01,
  +3.3800000000000000E+02,  +5.2008621431204375E+01,
  +3.3900000000000000E+02,  +4.9893457356331233E+01,
  +3.4000000000000000E+02,  +4.7093739912373884E+01,
  +3.4100000000000000E+02,  +4.8004959731618065E+01,
  +3.4200000000000000E+02,  +4.4635605655580633E+01,
  +3.4300000000000000E+02,  +4.5178008955631640E+01,
  +3.4400000000000000E+02,  +4.2500717671587545E+01,
  +3.4500000000000000E+02,  +4.4313638857433652E+01,
  +3.4600000000000000E+02,  +4.2217649238716248E+01,
  +3.4700000000000000E+02,  +4.4115927459743681E+01,
  +3.4800000000000000E+02,  +4.7959912428164330E+01,
  +3.4900000000000000E+02,  +4.9691999826054484E+01,
  +3.5000000000000000E+02,  +5.0856039570709633E+01,
  +3.5100000000000000E+02,  +5.1505100657148105E+01,
  +3.5200000000000000E+02,  +5.1692479032755180E+01,
  +3.5300000000000000E+02,  +5.1682129518829186E+01,
  +3.5400000000000000E+02,  +4.8875888210058136E+01,
  +3.5500000000000000E+02,  +4.8409077989650683E+01,
  +3.5600000000000000E+02,  +4.5231217361388801E+01,
  +3.5700000000000000E+02,  +4.5699783624883679E+01,
  +3.5800000000000000E+02,  +4.8822752876061983E+01,
  +3.5900000000000000E+02,  +5.0902130275054098E+01,
  +3.6000000000000000E+02,  +5.1975115209584196E+01,
  +3.6100000000000000E+02,  +5.2644530377628200E+01,
  +3.6200000000000000E+02,  +5.3029163612029969E+01,
  +3.6300000000000000E+02,  +5.3299576883407717E+01,
  +3.6400000000000000E+02,  +5.3395967272399730E+01,
  +3.6500000000000000E+02,  +5.2921882351445298E+01,
  +3.6600000000000000E+02,  +4.8982182318542833E+01,
  +3.6700000000000000E+02,  +4.3112314551443703E+01,
  +3.6800000000000000E+02,  +4.4860954539763434E+01,
  +3.6900000000000000E+02,  +4.2773480998555286E+01,
  +3.7000000000000000E+02,  +4.4668409196049801E+01,
  +3.7100000000000000E+02,  +4.8164966439061523E+01,
  +3.7200000000000000E+02,  +4.9911901845813510E+01,
  +3.7300000000000000E+02,  +5.1085873549627358E+01,
  +3.7400000000000000E+02,  +5.1823870459484809E+01,
  +3.7500000000000000E+02,  +5.2138447760625439E+01,
  +3.7600000000000000E+02,  +5.2178212265534981E+01,
  +3.7700000000000000E+02,  +5.2038042369324508E+01,
  +3.7800000000000000E+02,  +5.1721682330192301E+01,
  +3.7900000000000000E+02,  +5.1340139979811575E+01,
  +3.8000000000000000E+02,  +4.7827016870091647E+01,
  +3.8100000000000000E+02,  +4.7763493103658988E+01,
  +3.8200000000000000E+02,  +4.6227178369244811E+01,
  +3.8300000000000000E+02,  +4.2977920391860764E+01,
  +3.8400000000000000E+02,  +4.6504791494448249E+01,
  +3.8500000000000000E+02,  +5.0536293951786206E+01,
  +3.8600000000000000E+02,  +5.1951513873941146E+01,
  +3.8700000000000000E+02,  +5.2645165520761921E+01,
  +3.8800000000000000E+02,  +5.2898526765025153E+01,
  +3.8900000000000000E+02,  +5.2527166164075382E+01,
  +3.9000000000000000E+02,  +5.1456756117927512E+01,
  +3.9100000000000000E+02,  +4.7085869766264608E+01,
  +3.9200000000000000E+02,  +4.1661537259031682E+01,
  +3.9300000000000000E+02,  +4.4210294915460530E+01,
  +3.9400000000000000E+02,  +4.7740542055538953E+01,
  +3.9500000000000000E+02,  +4.9514487802191184E+01,
  +3.9600000000000000E+02,  +5.0797549730991967E+01,
  +3.9700000000000000E+02,  +5.1627705297880830E+01,
  +3.9800000000000000E+02,  +5.2181916814078164E+01,
  +3.9900000000000000E+02,  +5.2524610935206873E+01,
  +4.0000000000000000E+02,  +5.2458401483685172E+01,
  +4.0100000000000000E+02,  +5.2270401939046643E+01,
  +4.0200000000000000E+02,  +5.1987817330187177E+01,
  +4.0300000000000000E+02,  +5.1493747579957819E+01,
  +4.0400000000000000E+02,  +5.1069393700216644E+01,
  +4.0500000000000000E+02,  +5.1165141532416044E+01,
  +4.0600000000000000E+02,  +5.2012658390162947E+01,
  +4.0700000000000000E+02,  +5.2771564226169829E+01,
  +4.0800000000000000E+02,  +5.3248338667861105E+01,
  +4.0900000000000000E+02,  +5.3570962914404845E+01,
  +4.1000000000000000E+02,  +5.3763593023444457E+01,
  +4.1100000000000000E+02,  +5.3834028959414390E+01,
  +4.1200000000000000E+02,  +5.3811176109821091E+01,
  +4.1300000000000000E+02,  +5.1995243072680452E+01,
  +4.1400000000000000E+02,  +5.0687239649573094E+01,
  +4.1500000000000000E+02,  +4.7334745561840421E+01,
  +4.1600000000000000E+02,  +4.7672473026101144E+01,
  +4.1700000000000000E+02,  +4.5673306012632047E+01,
  +4.1800000000000000E+02,  +4.7127923940616917E+01,
  +4.1900000000000000E+02,  +4.9816837149699431E+01,
  +4.2000000000000000E+02,  +5.1116919900215656E+01,
  +4.2100000000000000E+02,  +5.2009671582341568E+01,
  +4.2200000000000000E+02,  +5.2526993673188542E+01,
  +4.2300000000000000E+02,  +5.2847487821997376E+01,
  +4.2400000000000000E+02,  +5.2863416799030588E+01,
  +4.2500000000000000E+02,  +5.0947536501964493E+01,
  +4.2600000000000000E+02,  +5.0562559851165517E+01,
  +4.2700000000000000E+02,  +5.1284719045417141E+01,
  +4.2800000000000000E+02,  +5.1545687391605988E+01,
  +4.2900000000000000E+02,  +5.1708130557999013E+01,
  +4.3000000000000000E+02,  +5.2559257553564805E+01,
  +4.3100000000000000E+02,  +5.3392374094395009E+01,
  +4.3200000000000000E+02,  +5.3907658053440471E+01,
  +4.3300000000000000E+02,  +5.4234546554251978E+01,
  +4.3400000000000000E+02,  +5.4432221510613175E+01,
  +4.3500000000000000E+02,  +5.4498662837055917E+01,
  +4.3600000000000000E+02,  +5.4054098917070917E+01,
  +4.3700000000000000E+02,  +5.3801601993897251E+01,
  +4.3800000000000000E+02,  +5.2358840154826424E+01,
