 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
  +3.5300000000000000E+02,  +6.1682129518829186E+01,  +5.8355198069731507E+01,  +5.5022326053714629E+01,
  +3.5400000000000000E+02,  +5.8875888210058136E+01,  +5.5551136407668736E+01,  +5.2223771486746955E+01,
  +3.5500000000000000E+02,  +5.8409077989650683E+01,  +5.4105150590252876E+01,  +5.0826418055109862E+01,
  +3.5600000000000000E+02,  +5.5231217361388801E+01,  +5.1309328671435438E+01,  +4.8206528103994785E+01,
  +3.5700000000000000E+02,  +5.5699783624883679E+01,  +5.0595355272353629E+01,  +4.7428143093408586E+01,
  +3.5800000000000000E+02,  +5.8822752876061983E+01,  +5.3506072465353768E+01,  +5.0053497058328695E+01,
  +3.5900000000000000E+02,  +6.0902130275054098E+01,  +5.6530350603338441E+01,  +5.3011839376784735E+01,
  +3.6000000000000000E+02,  +6.1975115209584196E+01,  +5.8463378500312430E+01,  +5.5058274348158257E+01,
  +3.6100000000000000E+02,  +6.2644530377628200E+01,  +5.9697199235812768E+01,  +5.6394896717807207E+01,
  +3.6200000000000000E+02,  +6.3029163612029969E+01,  +6.0422340841201070E+01,  +5.7175549045743246E+01,
  +3.6300000000000000E+02,  +6.3299576883407717E+01,  +6.0923878620205059E+01,  +5.7729487269181121E+01,
  +3.6400000000000000E+02,  +6.3395967272399730E+01,  +6.1119462866866520E+01,  +5.7927023838365599E+01,
  +3.6500000000000000E+02,  +6.2921882351445298E+01,  +6.0379639084424795E+01,  +5.7083096575628460E+01,
  +3.6600000000000000E+02,  +5.8982182318542833E+01,  +5.5905557831722739E+01,  +5.2486229030507452E+01,
  +3.6700000000000000E+02,  +5.3112314551443703E+01,  +4.9777702369930658E+01,  +4.6412229944298488E+01,
  +3.6800000000000000E+02,  +5.4860954539763434E+01,  +4.9388832388479635E+01,  +4.6101805087576835E+01,
  +3.6900000000000000E+02,  +5.2773480998555286E+01,  +4.7939328999514942E+01,  +4.5087549226092875E+01,
  +3.7000000000000000E+02,  +5.4668409196049801E+01,  +4.8939461116848179E+01,  +4.5795006970924462E+01,
  +3.7100000000000000E+02,  +5.8164966439061523E+01,  +5.2442721379627883E+01,  +4.9020791586675379E+01,
  +3.7200000000000000E+02,  +5.9911901845813510E+01,  +5.5199470530491560E+01,  +5.1766859184231905E+01,
  +3.7300000000000000E+02,  +6.1085873549627358E+01,  +5.7115139451747744E+01,  +5.3709930452042599E+01,
  +3.7400000000000000E+02,  +6.1823870459484809E+01,  +5.8374434763759943E+01,  +5.5013498491033737E+01,
  +3.7500000000000000E+02,  +6.2138447760625439E+01,  +5.8976075600416756E+01,  +5.5644013322551537E+01,
  +3.7600000000000000E+02,  +6.2178212265534981E+01,  +5.9103143352371724E+01,  +5.5777460966498182E+01,
  +3.7700000000000000E+02,  +6.2038042369324508E+01,  +5.8922112399099056E+01,  +5.5593177567585272E+01,
  +3.7800000000000000E+02,  +6.1721682330192301E+01,  +5.8474289356566565E+01,  +5.5144520081624350E+01,
  +3.7900000000000000E+02,  +6.1340139979811575E+01,  +5.7923653904193486E+01,  +5.4600472864247742E+01,
  +3.8000000000000000E+02,  +5.7827016870091647E+01,  +5.4440528638753655E+01,  +5.1132135563486891E+01,
  +3.8100000000000000E+02,  +5.7763493103658988E+01,  +5.3229736298933219E+01,  +4.9941882078696814E+01,
  +3.8200000000000000E+02,  +5.6227178369244811E+01,  +5.1895906903524327E+01,  +4.8847823725863051E+01,
  +3.8300000000000000E+02,  +5.2977920391860764E+01,  +4.9396474624596593E+01,  +4.6367885340256912E+01,
  +3.8400000000000000E+02,  +5.6504791494448249E+01,  +5.1216298624858304E+01,  +4.7692115939653114E+01,
  +3.8500000000000000E+02,  +6.0536293951786206E+01,  +5.5426251346494396E+01,  +5.1670144321165822E+01,
  +3.8600000000000000E+02,  +6.1951513873941146E+01,  +5.8195567038715858E+01,  +5.4666844263037468E+01,
  +3.8700000000000000E+02,  +6.2645165520761921E+01,  +5.9648469731779414E+01,  +5.6327136003571376E+01,
  +3.8800000000000000E+02,  +6.2898526765025153E+01,  +6.0214326888822633E+01,  +5.6939637957990264E+01,
  +3.8900000000000000E+02,  +6.2527166164075382E+01,  +5.9721750960472626E+01,  +5.6405036806571289E+01,
  +3.9000000000000000E+02,  +6.1456756117927512E+01,  +5.8199744575328211E+01,  +5.4862562924796144E+01,
