 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +1.0800000000000000E+02,  +1.1327000000000000E+01,  +7.0000000000000000E+02,
  +1.0900000000000000E+02,  +8.7430000000000003E+00,  +7.0000000000000000E+02,
  +1.1000000000000000E+02,  +7.0480000000000000E+00,  +7.0000000000000000E+02,
  +1.1100000000000000E+02,  +6.0149999999999997E+00,  +7.0000000000000000E+02,
  +1.1200000000000000E+02,  +5.4279999999999999E+00,  +7.0000000000000000E+02,
  +1.1300000000000000E+02,  +5.0930000000000000E+00,  +7.0000000000000000E+02,
  +1.1400000000000000E+02,  +5.3970000000000002E+00,  +7.0000000000000000E+02,
  +1.1500000000000000E+02,  +5.6500000000000004E+00,  +7.0000000000000000E+02,
  +1.1600000000000000E+02,  +5.7370000000000001E+00,  +7.0000000000000000E+02,
  +1.1700000000000000E+02,  +5.6859999999999999E+00,  +7.0000000000000000E+02,
  +1.1800000000000000E+02,  +4.8330000000000002E+00,  +7.0000000000000000E+02,
  +1.1900000000000000E+02,  +4.2560000000000002E+00,  +7.0000000000000000E+02,
  +1.2000000000000000E+02,  +3.8550000000000000E+00,  +7.0000000000000000E+02,
  +1.2100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2200000000000000E+02,  +4.7320000000000002E+00,  +7.0000000000000000E+02,
  +1.2300000000000000E+02,  +4.1580000000000004E+00,  +7.0000000000000000E+02,
  +1.2400000000000000E+02,  +4.0819999999999999E+00,  +7.0000000000000000E+02,
  +1.2500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2600000000000000E+02,  +7.0240000000000000E+00,  +7.0000000000000000E+02,
  +1.2700000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.3000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.3100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.3200000000000000E+02,  +1.5529000000000000E+01,  +7.0000000000000000E+02,
  +1.3300000000000000E+02,  +1.2092000000000001E+01,  +7.0000000000000000E+02,
  +1.3400000000000000E+02,  +9.6140000000000008E+00,  +7.0000000000000000E+02,
  +1.3500000000000000E+02,  +8.0619999999999994E+00,  +7.0000000000000000E+02,
  +1.3600000000000000E+02,  +6.9500000000000002E+00,  +7.0000000000000000E+02,
  +1.3700000000000000E+02,  +6.4340000000000002E+00,  +7.0000000000000000E+02,
  +1.3800000000000000E+02,  +6.1040000000000001E+00,  +7.0000000000000000E+02,
  +1.3900000000000000E+02,  +6.0339999999999998E+00,  +7.0000000000000000E+02,
  +1.4000000000000000E+02,  +6.1280000000000001E+00,  +7.0000000000000000E+02,
  +1.4100000000000000E+02,  +6.0830000000000002E+00,  +7.0000000000000000E+02,
  +1.4200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4400000000000000E+02,  +7.3280000000000003E+00,  +7.0000000000000000E+02,
  +1.4500000000000000E+02,  +5.9770000000000003E+00,  +7.0000000000000000E+02,
  +1.4600000000000000E+02,  +4.9349999999999996E+00,  +7.0000000000000000E+02,
  +1.4700000000000000E+02,  +4.3350000000000000E+00,  +7.0000000000000000E+02,
  +1.4800000000000000E+02,  +4.1109999999999998E+00,  +7.0000000000000000E+02,
  +1.4900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5400000000000000E+02,  +1.4398000000000000E+01,  +7.0000000000000000E+02,
  +1.5500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5700000000000000E+02,  +1.4239000000000001E+01,  +7.0000000000000000E+02,
  +1.5800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6100000000000000E+02,  +1.5952999999999999E+01,  +7.0000000000000000E+02,
  +1.6200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6300000000000000E+02,  +1.4821000000000000E+01,  +7.0000000000000000E+02,
  +1.6400000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6600000000000000E+02,  +1.5176000000000000E+01,  +7.0000000000000000E+02,
  +1.6700000000000000E+02,  +1.1263000000000000E+01,  +7.0000000000000000E+02,
  +1.6800000000000000E+02,  +8.3119999999999994E+00,  +7.0000000000000000E+02,
  +1.6900000000000000E+02,  +6.2569999999999997E+00,  +7.0000000000000000E+02,
  +1.7000000000000000E+02,  +4.8769999999999998E+00,  +7.0000000000000000E+02,
  +1.7100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7400000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7700000000000000E+02,  +1.4965000000000000E+01,  +7.0000000000000000E+02,
  +1.7800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7900000000000000E+02,  +1.3256000000000000E+01,  +7.0000000000000000E+02,
  +1.8000000000000000E+02,  +1.0417000000000000E+01,  +7.0000000000000000E+02,
  +1.8100000000000000E+02,  +8.2899999999999991E+00,  +7.0000000000000000E+02,
  +1.8200000000000000E+02,  +7.0490000000000004E+00,  +7.0000000000000000E+02,
  +1.8300000000000000E+02,  +6.1749999999999998E+00,  +7.0000000000000000E+02,
  +1.8400000000000000E+02,  +5.7560000000000002E+00,  +7.0000000000000000E+02,
